Instance,Difficulty,Class,n,Capacity,TotalWeight,TotalProfit,Method,Value,Time(ms),Nodes,Optimal,OptimalKnown,Gap(%)
05SubsetSum_n00100_R01000_s000,moyen,Unknown,100,29017,58616,58616,Complete_MIP_ORTools,29015,157.64307975769043,17,true,-1,-1.0
05SubsetSum_n00100_R01000_s000,moyen,Unknown,100,29017,58616,58616,Complete_MIP_PuLP,29017,91.35150909423828,-1,true,-1,-1.0
05SubsetSum_n00100_R01000_s000,moyen,Unknown,100,29017,58616,58616,Incomplete_Greedy_Simple,28954,0.0,0,false,-1,-1.0
05SubsetSum_n00100_R01000_s000,moyen,Unknown,100,29017,58616,58616,Incomplete_Greedy_Random_k3,28972,7.11822509765625,0,false,-1,-1.0
05SubsetSum_n00100_R01000_s000,moyen,Unknown,100,29017,58616,58616,Incomplete_Greedy_Probabilistic_alpha0.9,29008,11.005878448486328,0,false,-1,-1.0
05SubsetSum_n00100_R01000_s000,moyen,Unknown,100,29017,58616,58616,Incomplete_SimulatedAnnealing,29017,929.9330711364746,11768,false,-1,-1.0
05SubsetSum_n00100_R01000_s000,moyen,Unknown,100,29017,58616,58616,Incomplete_GeneticAlgorithm,29017,620.6796169281006,5000,false,-1,-1.0
05SubsetSum_n00100_R01000_s000,moyen,Unknown,100,29017,58616,58616,Incomplete_TabuSearch,29017,6169.111728668213,1000,false,-1,-1.0
06UncorrelatedWithSimilarWeights_n00100_R01000_s000,moyen,Unknown,100,4952745,10004545,58616,Complete_MIP_ORTools,39791,95.84879875183105,50,true,-1,-1.0
06UncorrelatedWithSimilarWeights_n00100_R01000_s000,moyen,Unknown,100,4952745,10004545,58616,Complete_MIP_PuLP,39791,184.60845947265625,-1,true,-1,-1.0
06UncorrelatedWithSimilarWeights_n00100_R01000_s000,moyen,Unknown,100,4952745,10004545,58616,Incomplete_Greedy_Simple,39791,1.0666847229003906,0,false,-1,-1.0
06UncorrelatedWithSimilarWeights_n00100_R01000_s000,moyen,Unknown,100,4952745,10004545,58616,Incomplete_Greedy_Random_k3,39784,10.85209846496582,0,false,-1,-1.0
06UncorrelatedWithSimilarWeights_n00100_R01000_s000,moyen,Unknown,100,4952745,10004545,58616,Incomplete_Greedy_Probabilistic_alpha0.9,31537,11.615276336669922,0,false,-1,-1.0
06UncorrelatedWithSimilarWeights_n00100_R01000_s000,moyen,Unknown,100,4952745,10004545,58616,Incomplete_SimulatedAnnealing,39791,959.723949432373,12299,false,-1,-1.0
06UncorrelatedWithSimilarWeights_n00100_R01000_s000,moyen,Unknown,100,4952745,10004545,58616,Incomplete_GeneticAlgorithm,38901,682.2271347045898,5000,false,-1,-1.0
06UncorrelatedWithSimilarWeights_n00100_R01000_s000,moyen,Unknown,100,4952745,10004545,58616,Incomplete_TabuSearch,39791,7861.743211746216,1000,false,-1,-1.0
07SpannerUncorrelated_n00100_R01000_s000,moyen,Unknown,100,8751,17678,42088,Complete_MIP_ORTools,24228,55.45449256896973,50,true,-1,-1.0
07SpannerUncorrelated_n00100_R01000_s000,moyen,Unknown,100,8751,17678,42088,Complete_MIP_PuLP,24228,219.3892002105713,-1,true,-1,-1.0
07SpannerUncorrelated_n00100_R01000_s000,moyen,Unknown,100,8751,17678,42088,Complete_DP,24228,2559.648036956787,875100,true,-1,-1.0
07SpannerUncorrelated_n00100_R01000_s000,moyen,Unknown,100,8751,17678,42088,Incomplete_Greedy_Simple,24228,0.9970664978027344,0,false,-1,-1.0
07SpannerUncorrelated_n00100_R01000_s000,moyen,Unknown,100,8751,17678,42088,Incomplete_Greedy_Random_k3,24228,23.45895767211914,0,false,-1,-1.0
07SpannerUncorrelated_n00100_R01000_s000,moyen,Unknown,100,8751,17678,42088,Incomplete_Greedy_Probabilistic_alpha0.9,21772,14.410018920898438,0,false,-1,-1.0
07SpannerUncorrelated_n00100_R01000_s000,moyen,Unknown,100,8751,17678,42088,Incomplete_SimulatedAnnealing,24228,1422.6460456848145,10362,false,-1,-1.0
07SpannerUncorrelated_n00100_R01000_s000,moyen,Unknown,100,8751,17678,42088,Incomplete_GeneticAlgorithm,23332,1220.6909656524658,5000,false,-1,-1.0
07SpannerUncorrelated_n00100_R01000_s000,moyen,Unknown,100,8751,17678,42088,Incomplete_TabuSearch,24228,10533.483505249023,1000,false,-1,-1.0
00Uncorrelated_n01000_R01000_s000,difficile,Unknown,1000,252480,510010,496865,Complete_MIP_ORTools,400809,152.24862098693848,0,true,-1,-1.0
00Uncorrelated_n01000_R01000_s000,difficile,Unknown,1000,252480,510010,496865,Incomplete_Greedy_Simple,400792,3.2181739807128906,0,false,-1,-1.0
